"Timestamp","1. Płeć","2. Wiek (w latach)","3. Aktualne miejsce zamieszkania:","4. Jaki jest Pani/Pana status zawodowy?","5. Wykształcenie:","6. Czy ma Pani/Pan dzieci?","7. Ile lat ma Pani/Pana najmłodsze dziecko (w latach)? ","8. Czy kupuje Pan/Pani produkty, które zawierają w swoim składzie syrop glukozowo-fruktozowy?","9. Jak często spożywa Pani/Pan produkty zawierające w składzie syrop glukozowo-fruktozowy? ","10. Jakiego rodzaju produkty zawierające syrop glukozowo-fruktozowy kupuje Pani/Pan najczęściej?","11. Na którym miejscu w składzie zazwyczaj kupowanych przez Panią/Pana produktów znajduje się syrop glukozowo-fruktozowy? ","12. Czy stara się Pani/Pan ograniczać spożycie syropu glukozowo-fruktozowego w swojej diecie czy też nie?","13. Czy Pani/Pana zdaniem spożywanie syropu glukozowo-fruktozowego jest zdrowe czy niezdrowe dla organizmu?","14. Jak często w Pani/Pana domu weryfikuje się składy produktów przy zakupie artykułów żywnościowych? ","15. Czy kiedykolwiek była Pani/był Pan (lub jest) na  diecie redukcyjnej lub innej niestandardowej?"
"2020/11/13 10:30:00 PM GMT+1","Kobieta","24","Miasto powyżej 200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","3","Słodycze;Desery","Środek","Staram się ograniczać","Nie wiem","10","Tak"
"2020/11/13 10:38:34 PM GMT+1","Kobieta","35","Miasto poniżej 100 tys. mieszkańców","Pracuję","Wyższe","Tak","4","Nie wiem","","","","","Nie wiem","5","Nie"
"2020/11/13 10:41:44 PM GMT+1","Mężczyzna","35","Miasto poniżej 100 tys. mieszkańców","Pracuję","Zawodowe","Tak","4","Nie wiem","","","","","Nie wiem","3","Nie"
"2020/11/13 10:44:02 PM GMT+1","Mężczyzna","26","Miasto 100-200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","5","Napoje;Słodycze;Produkty instant","Nigdy na to nie zwracałam/em uwagi","Staram się ograniczać","Nie wiem","6","Nie"
"2020/11/13 10:45:10 PM GMT+1","Kobieta","25","Miasto powyżej 200 tys. mieszkańców","Uczę się","Wyższe","Nie","","Tak","10","Napoje;Słodycze;Desery","Początek","Nie staram się ograniczać","Niezdrowe","1","Tak"
"2020/11/13 10:54:55 PM GMT+1","Kobieta","46","Miasto powyżej 200 tys. mieszkańców","Pracuję","Wyższe","Tak","12","Tak","5","Napoje;Produkty instant","Początek","Staram się ograniczać","Niezdrowe","6","Tak"
"2020/11/13 11:14:24 PM GMT+1","Kobieta","24","Miasto powyżej 200 tys. mieszkańców","Uczę się","Średnie","Nie","","Nie","","","","","Niezdrowe","9","Nie"
"2020/11/14 12:01:48 AM GMT+1","Kobieta","25","Miasto powyżej 200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Nie","","","","","Niezdrowe","8","Nie"
"2020/11/14 12:17:24 AM GMT+1","Kobieta","21","Miasto powyżej 200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Nie wiem","","","","","Niezdrowe","4","Tak"
"2020/11/14 1:07:52 AM GMT+1","Kobieta","17","Miasto poniżej 100 tys. mieszkańców","Uczę się","Średnie","Nie","","Tak","4","Napoje;Słodycze","Nie pamiętam","Staram się ograniczać","Niezdrowe","8","Tak"
"2020/11/14 1:36:57 AM GMT+1","Kobieta","20","Miasto powyżej 200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","8","Napoje;Słodycze;Słone przekąski","Nie pamiętam","Staram się ograniczać","Niezdrowe","6","Nie"
"2020/11/14 8:53:41 AM GMT+1","Kobieta","38","Miasto powyżej 200 tys. mieszkańców","Pracuję","Wyższe","Nie","","Nie","","","","","Niezdrowe","10","Tak"
"2020/11/14 9:55:15 AM GMT+1","Mężczyzna","23","Miasto 100-200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","4","Słodycze","Początek","Staram się ograniczać","Niezdrowe","10","Tak"
"2020/11/14 10:26:36 AM GMT+1","Kobieta","22","Wieś","Studiuję/studiuję i pracuję","","Nie","","Nie","","","","","Niezdrowe","9","Tak"
"2020/11/14 10:40:12 AM GMT+1","Kobieta","22","Miasto poniżej 100 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","2","Desery;Produkty instant","Koniec","Staram się ograniczać","Niezdrowe","8","Nie"
"2020/11/14 10:41:52 AM GMT+1","Kobieta","21","Miasto powyżej 200 tys. mieszkańców","Studiuję/studiuję i pracuję","","Nie","","Tak","6","Słodycze;Sosy","Środek","Staram się ograniczać","Niezdrowe","9","Tak"
"2020/11/14 11:05:32 AM GMT+1","Mężczyzna","22","Wieś","Studiuję/studiuję i pracuję","","Nie","","Tak","6","Napoje;Pieczywo;Sosy","Koniec","Staram się ograniczać","Niezdrowe","10","Nie"
